Info 285  [11:56:17.186] DirectoryWatcher:: Triggered with /users/knowledge/developer/fabric/application/node_modules/@babel/core/node_modules/ms :: WatchInfo: /users/knowledge/developer/fabric/application/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 286  [11:56:17.187] Elapsed:: 0ms DirectoryWatcher:: Triggered with /users/knowledge/developer/fabric/application/node_modules/@babel/core/node_modules/ms :: WatchInfo: /users/knowledge/developer/fabric/application/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 287  [11:56:17.187] DirectoryWatcher:: Triggered with /users/knowledge/developer/fabric/application/node_modules/@types/node :: WatchInfo: /users/knowledge/developer/fabric/application/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 288  [11:56:17.187] Elapsed:: 0ms DirectoryWatcher:: Triggered with /users/knowledge/developer/fabric/application/node_modules/@types/node :: WatchInfo: /users/knowledge/developer/fabric/application/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 289  [11:56:17.187] DirectoryWatcher:: Triggered with /users/knowledge/developer/fabric/application/node_modules/@babel/traverse/node_modules/ms :: WatchInfo: /users/knowledge/developer/fabric/application/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 290  [11:56:17.187] Elapsed:: 0ms DirectoryWatcher:: Triggered with /users/knowledge/developer/fabric/application/node_modules/@babel/traverse/node_modules/ms :: WatchInfo: /users/knowledge/developer/fabric/application/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 291  [11:56:17.187] DirectoryWatcher:: Triggered with /Users/knowledge/Developer/fabric/application/node_modules/.yarn-integrity :: WatchInfo: /Users/knowledge/Developer/fabric/application/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 292  [11:56:17.187] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/knowledge/Developer/fabric/application/node_modules/.yarn-integrity :: WatchInfo: /Users/knowledge/Developer/fabric/application/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 293  [11:56:17.187] DirectoryWatcher:: Triggered with /Users/knowledge/Developer/fabric/application/node_modules/@babel/core/node_modules/ms :: WatchInfo: /Users/knowledge/Developer/fabric/application/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 294  [11:56:17.244] Elapsed:: 57ms DirectoryWatcher:: Triggered with /Users/knowledge/Developer/fabric/application/node_modules/@babel/core/node_modules/ms :: WatchInfo: /Users/knowledge/Developer/fabric/application/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 295  [11:56:17.244] DirectoryWatcher:: Triggered with /Users/knowledge/Developer/fabric/application/node_modules/@types/node :: WatchInfo: /Users/knowledge/Developer/fabric/application/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 296  [11:56:17.297] Elapsed:: 53ms DirectoryWatcher:: Triggered with /Users/knowledge/Developer/fabric/application/node_modules/@types/node :: WatchInfo: /Users/knowledge/Developer/fabric/application/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 297  [11:56:17.297] DirectoryWatcher:: Triggered with /Users/knowledge/Developer/fabric/application/node_modules/@babel/traverse/node_modules/ms :: WatchInfo: /Users/knowledge/Developer/fabric/application/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 298  [11:56:17.342] Elapsed:: 45ms DirectoryWatcher:: Triggered with /Users/knowledge/Developer/fabric/application/node_modules/@babel/traverse/node_modules/ms :: WatchInfo: /Users/knowledge/Developer/fabric/application/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 299  [11:56:17.342] DirectoryWatcher:: Triggered with /users/knowledge/developer/fabric/application/node_modules/@types/node :: WatchInfo: /users/knowledge/developer/fabric/application/node_modules/@types 1 Project: /dev/null/inferredProject1* WatchType: Type roots
Info 300  [11:56:17.394] Elapsed:: 52ms DirectoryWatcher:: Triggered with /users/knowledge/developer/fabric/application/node_modules/@types/node :: WatchInfo: /users/knowledge/developer/fabric/application/node_modules/@types 1 Project: /dev/null/inferredProject1* WatchType: Type roots
